,Word,Number of Syllables,Formatted for JS,Syllables Separated by semicolon,1st Syllable,2nd Syllable,3rd Syllable,4th Syllable,5th Syllable,6th Syllable,7th Syllable,8th Syllable
,abundance,3,"'abundance': 3,",a;bun;dance,a,bun,dance,,,,,
,abundant,3,"'abundant': 3,",a;bun;dant,a,bun,dant,,,,,
,abundantly,4,"'abundantly': 4,",a;bun;dant;ly,a,bun,dant,ly,,,,
,abuser,3,"'abuser': 3,",a;bus;er,a,bus,er,,,,,
,abusing,3,"'abusing': 3,",a;bus;ing,a,bus,ing,,,,,
,abuse,2,"'abuse': 2,",a;buse,a,buse,,,,,,
,abused,2,"'abused': 2,",a;bused,a,bused,,,,,,
,abutting,3,"'abutting': 3,",a;but;ting,a,but,ting,,,,,
,aby,2,"'aby': 2,",a;by,a,by,,,,,,
,abysmal,3,"'abysmal': 3,",a;bys;mal,a,bys,mal,,,,,
,abyss,2,"'abyss': 2,",a;byss,a,byss,,,,,,
,acacia,3,"'acacia': 3,",a;ca;cia,a,ca,cia,,,,,
,academy,4,"'academy': 4,",a;cad;e;my,a,cad,e,my,,,,
,acetic,3,"'acetic': 3,",a;ce;tic,a,ce,tic,,,,,
,acetylene,4,"'acetylene': 4,",a;cet;y;lene,a,cet,y,lene,,,,
,achievable,4,"'achievable': 4,",a;chiev;a;ble,a,chiev,a,ble,,,,
,achiever,3,"'achiever': 3,",a;chiev;er,a,chiev,er,,,,,
,achieving,3,"'achieving': 3,",a;chiev;ing,a,chiev,ing,,,,,
,achieve,2,"'achieve': 2,",a;chieve,a,chieve,,,,,,
,achievement,3,"'achievement': 3,",a;chieve;ment,a,chieve,ment,,,,,
,achieved,2,"'achieved': 2,",a;chieved,a,chieved,,,,,,
,acidity,4,"'acidity': 4,",a;cid;i;ty,a,cid,i,ty,,,,
,acidic,3,"'acidic': 3,",a;cid;ic,a,cid,ic,,,,,
,acorn,2,"'acorn': 2,",a;corn,a,corn,,,,,,
,acoustical,4,"'acoustical': 4,",a;cous;ti;cal,a,cous,ti,cal,,,,
,acoustic,3,"'acoustic': 3,",a;cous;tic,a,cous,tic,,,,,
,acoustics,3,"'acoustics': 3,",a;cous;tics,a,cous,tics,,,,,
,acre,2,"'acre': 2,",a;cre,a,cre,,,,,,
,acreage,3,"'acreage': 3,",a;cre;age,a,cre,age,,,,,
,acropolis,4,"'acropolis': 4,",a;crop;o;lis,a,crop,o,lis,,,,
,across,2,"'across': 2,",a;cross,a,cross,,,,,,
,acrylic,3,"'acrylic': 3,",a;cryl;ic,a,cryl,ic,,,,,
,acuity,4,"'acuity': 4,",a;cu;i;ty,a,cu,i,ty,,,,
,acute,2,"'acute': 2,",a;cute,a,cute,,,,,,
,acutely,3,"'acutely': 3,",a;cute;ly,a,cute,ly,,,,,
,acyclic,3,"'acyclic': 3,",a;cy;clic,a,cy,clic,,,,,
,adagio,3,"'adagio': 3,",a;da;gio,a,da,gio,,,,,
,adaptive,3,"'adaptive': 3,",a;dap;tive,a,dap,tive,,,,,
,adaptor,3,"'adaptor': 3,",a;dap;tor,a,dap,tor,,,,,
,adapt,2,"'adapt': 2,",a;dapt,a,dapt,,,,,,
,adaptability,6,"'adaptability': 6,",a;dapt;a;bil;i;ty,a,dapt,a,bil,i,ty,,
,adaptable,4,"'adaptable': 4,",a;dapt;a;ble,a,dapt,a,ble,,,,
,adapter,3,"'adapter': 3,",a;dapt;er,a,dapt,er,,,,,
,adenosine,4,"'adenosine': 4,",a;den;o;sine,a,den,o,sine,,,,
,adieu,2,"'adieu': 2,",a;dieu,a,dieu,,,,,,
,ado,2,"'ado': 2,",a;do,a,do,,,,,,
,adobe,3,"'adobe': 3,",a;do;be,a,do,be,,,,,
,adoption,3,"'adoption': 3,",a;dop;tion,a,dop,tion,,,,,
,adoptive,3,"'adoptive': 3,",a;dop;tive,a,dop,tive,,,,,
,adopt,2,"'adopt': 2,",a;dopt,a,dopt,,,,,,
,adopted,3,"'adopted': 3,",a;dopt;ed,a,dopt,ed,,,,,
,adopter,3,"'adopter': 3,",a;dopt;er,a,dopt,er,,,,,
,adorable,4,"'adorable': 4,",a;dor;a;ble,a,dor,a,ble,,,,
,adore,2,"'adore': 2,",a;dore,a,dore,,,,,,
,adored,2,"'adored': 2,",a;dored,a,dored,,,,,,
,adorn,2,"'adorn': 2,",a;dorn,a,dorn,,,,,,
,adrenaline,4,"'adrenaline': 4,",a;dren;a;line,a,dren,a,line,,,,
,adrift,2,"'adrift': 2,",a;drift,a,drift,,,,,,
,adultery,4,"'adultery': 4,",a;dul;ter;y,a,dul,ter,y,,,,
,adult,2,"'adult': 2,",a;dult,a,dult,,,,,,
,adulthood,3,"'adulthood': 3,",a;dult;hood,a,dult,hood,,,,,
,afar,2,"'afar': 2,",a;far,a,far,,,,,,
,aficionado,5,"'aficionado': 5,",a;fi;cio;na;do,a,fi,cio,na,do,,,
,afield,2,"'afield': 2,",a;field,a,field,,,,,,
,afloat,2,"'afloat': 2,",a;float,a,float,,,,,,
,afoot,2,"'afoot': 2,",a;foot,a,foot,,,,,,
,aforementioned,4,"'aforementioned': 4,",a;fore;men;tioned,a,fore,men,tioned,,,,
,aforesaid,3,"'aforesaid': 3,",a;fore;said,a,fore,said,,,,,
,afraid,2,"'afraid': 2,",a;fraid,a,fraid,,,,,,
,aga,2,"'aga': 2,",a;ga,a,ga,,,,,,
,agave,3,"'agave': 3,",a;ga;ve,a,ga,ve,,,,,
,again,2,"'again': 2,",a;gain,a,gain,,,,,,
,against,2,"'against': 2,",a;gainst,a,gainst,,,,,,
,agape,2,"'agape': 2,",a;gape,a,gape,,,,,,
,agar,2,"'agar': 2,",a;gar,a,gar,,,,,,
,aged,2,"'aged': 2,",a;ged,a,ged,,,,,,
,agee,2,"'agee': 2,",a;gee,a,gee,,,,,,
,agency,3,"'agency': 3,",a;gen;cy,a,gen,cy,,,,,
,agenda,3,"'agenda': 3,",a;gen;da,a,gen,da,,,,,
,agent,2,"'agent': 2,",a;gent,a,gent,,,,,,
,agility,4,"'agility': 4,",a;gil;i;ty,a,gil,i,ty,,,,
,ago,2,"'ago': 2,",a;go,a,go,,,,,,
,agrarian,4,"'agrarian': 4,",a;grar;i;an,a,grar,i,an,,,,
,agree,2,"'agree': 2,",a;gree,a,gree,,,,,,
,agreeable,4,"'agreeable': 4,",a;gree;a;ble,a,gree,a,ble,,,,
,agreeing,3,"'agreeing': 3,",a;gree;ing,a,gree,ing,,,,,
,agreement,3,"'agreement': 3,",a;gree;ment,a,gree,ment,,,,,
,agreed,2,"'agreed': 2,",a;greed,a,greed,,,,,,
,agronomy,4,"'agronomy': 4,",a;gron;o;my,a,gron,o,my,,,,
,aha,2,"'aha': 2,",a;ha,a,ha,,,,,,
,ahead,2,"'ahead': 2,",a;head,a,head,,,,,,
,ahem,2,"'ahem': 2,",a;hem,a,hem,,,,,,
,ahold,2,"'ahold': 2,",a;hold,a,hold,,,,,,
,ahoy,2,"'ahoy': 2,",a;hoy,a,hoy,,,,,,
,ai,2,"'ai': 2,",a;i,a,i,,,,,,
,ais,2,"'ais': 2,",a;is,a,is,,,,,,
,akin,2,"'akin': 2,",a;kin,a,kin,,,,,,
,ala,2,"'ala': 2,",a;la,a,la,,,,,,
,alarm,2,"'alarm': 2,",a;larm,a,larm,,,,,,
,alas,2,"'alas': 2,",a;las,a,las,,,,,,
,aleph,2,"'aleph': 2,",a;leph,a,leph,,,,,,
,alert,2,"'alert': 2,",a;lert,a,lert,,,,,,
,alertness,3,"'alertness': 3,",a;lert;ness,a,lert,ness,,,,,
,alexia,4,"'alexia': 4,",a;lex;i;a,a,lex,i,a,,,,
,aliases,4,"'aliases': 4,",a;li;as;es,a,li,as,es,,,,
,alight,2,"'alight': 2,",a;light,a,light,,,,,,
,align,2,"'align': 2,",a;lign,a,lign,,,,,,
,alignment,3,"'alignment': 3,",a;lign;ment,a,lign,ment,,,,,
,alike,2,"'alike': 2,",a;like,a,like,,,,,,
,aline,2,"'aline': 2,",a;line,a,line,,,,,,
,alist,2,"'alist': 2,",a;list,a,list,,,,,,
,alive,2,"'alive': 2,",a;live,a,live,,,,,,
,aloha,3,"'aloha': 3,",a;lo;ha,a,lo,ha,,,,,
,aloft,2,"'aloft': 2,",a;loft,a,loft,,,,,,
,alone,2,"'alone': 2,",a;lone,a,lone,,,,,,
,along,2,"'along': 2,",a;long,a,long,,,,,,
,alongside,3,"'alongside': 3,",a;long;side,a,long,side,,,,,
,aloof,2,"'aloof': 2,",a;loof,a,loof,,,,,,
,aloud,2,"'aloud': 2,",a;loud,a,loud,,,,,,
,alumina,4,"'alumina': 4,",a;lu;mi;na,a,lu,mi,na,,,,
,aluminum,4,"'aluminum': 4,",a;lu;mi;num,a,lu,mi,num,,,,
,alumnus,3,"'alumnus': 3,",a;lum;nus,a,lum,nus,,,,,
,amalgam,3,"'amalgam': 3,",a;mal;gam,a,mal,gam,,,,,
,amalgamation,5,"'amalgamation': 5,",a;mal;gam;a;tion,a,mal,gam,a,tion,,,
,amalgamated,5,"'amalgamated': 5,",a;mal;gam;at;ed,a,mal,gam,at,ed,,,
,amazing,3,"'amazing': 3,",a;maz;ing,a,maz,ing,,,,,
,amazingly,4,"'amazingly': 4,",a;maz;ing;ly,a,maz,ing,ly,,,,
,amaze,2,"'amaze': 2,",a;maze,a,maze,,,,,,
,amazement,3,"'amazement': 3,",a;maze;ment,a,maze,ment,,,,,
,amazed,2,"'amazed': 2,",a;mazed,a,mazed,,,,,,
,amenable,4,"'amenable': 4,",a;me;na;ble,a,me,na,ble,,,,
,amen,2,"'amen': 2,",a;men,a,men,,,,,,
,amenity,4,"'amenity': 4,",a;men;i;ty,a,men,i,ty,,,,
,amend,2,"'amend': 2,",a;mend,a,mend,,,,,,
,amendment,3,"'amendment': 3,",a;mend;ment,a,mend,ment,,,,,
,amends,2,"'amends': 2,",a;mends,a,mends,,,,,,
,ami,2,"'ami': 2,",a;mi,a,mi,,,,,,
,amiable,4,"'amiable': 4,",a;mi;a;ble,a,mi,a,ble,,,,
,amiga,3,"'amiga': 3,",a;mi;ga,a,mi,ga,,,,,
,amigo,3,"'amigo': 3,",a;mi;go,a,mi,go,,,,,
,amino,3,"'amino': 3,",a;mi;no,a,mi,no,,,,,
,amid,2,"'amid': 2,",a;mid,a,mid,,,,,,
,amidst,2,"'amidst': 2,",a;midst,a,midst,,,,,,
,amie,2,"'amie': 2,",a;mie,a,mie,,,,,,
,amine,2,"'amine': 2,",a;mine,a,mine,,,,,,
,amir,2,"'amir': 2,",a;mir,a,mir,,,,,,
,amis,2,"'amis': 2,",a;mis,a,mis,,,,,,
,amiss,2,"'amiss': 2,",a;miss,a,miss,,,,,,
,amoeba,3,"'amoeba': 3,",a;moe;ba,a,moe,ba,,,,,
,amok,2,"'amok': 2,",a;mok,a,mok,,,,,,
,among,2,"'among': 2,",a;mong,a,mong,,,,,,
,amongst,2,"'amongst': 2,",a;mongst,a,mongst,,,,,,
,amorphous,3,"'amorphous': 3,",a;mor;phous,a,mor,phous,,,,,
,amount,2,"'amount': 2,",a;mount,a,mount,,,,,,
,amour,2,"'amour': 2,",a;mour,a,mour,,,,,,
,amusing,3,"'amusing': 3,",a;mus;ing,a,mus,ing,,,,,
,amuse,2,"'amuse': 2,",a;muse,a,muse,,,,,,
,amusement,3,"'amusement': 3,",a;muse;ment,a,muse,ment,,,,,
,amused,2,"'amused': 2,",a;mused,a,mused,,,,,,
,amygdala,4,"'amygdala': 4,",a;myg;da;la,a,myg,da,la,,,,
,anaemia,4,"'anaemia': 4,",a;nae;mi;a,a,nae,mi,a,,,,
,analogous,4,"'analogous': 4,",a;nal;o;gous,a,nal,o,gous,,,,
,analogy,4,"'analogy': 4,",a;nal;o;gy,a,nal,o,gy,,,,
,analysis,4,"'analysis': 4,",a;nal;y;sis,a,nal,y,sis,,,,
,ananda,3,"'ananda': 3,",a;nan;da,a,nan,da,,,,,
,anatomy,4,"'anatomy': 4,",a;nat;o;my,a,nat,o,my,,,,
,anathema,4,"'anathema': 4,",a;nath;e;ma,a,nath,e,ma,,,,
,anemia,4,"'anemia': 4,",a;ne;mi;a,a,ne,mi,a,,,,
,anemone,4,"'anemone': 4,",a;nem;o;ne,a,nem,o,ne,,,,
,anew,2,"'anew': 2,",a;new,a,new,,,,,,
,ani,2,"'ani': 2,",a;ni,a,ni,,,,,,
,anomalous,4,"'anomalous': 4,",a;nom;a;lous,a,nom,a,lous,,,,
,anomaly,4,"'anomaly': 4,",a;nom;a;ly,a,nom,a,ly,,,,
,anonymous,4,"'anonymous': 4,",a;non;y;mous,a,non,y,mous,,,,
,anonymously,5,"'anonymously': 5,",a;non;y;mous;ly,a,non,y,mous,ly,,,
,anus,2,"'anus': 2,",a;nus,a,nus,,,,,,
,aorta,3,"'aorta': 3,",a;or;ta,a,or,ta,,,,,
,aortic,3,"'aortic': 3,",a;or;tic,a,or,tic,,,,,
,apa,2,"'apa': 2,",a;pa,a,pa,,,,,,
,apache,2,"'apache': 2,",a;pache,a,pache,,,,,,
,apart,2,"'apart': 2,",a;part,a,part,,,,,,
,apartheid,3,"'apartheid': 3,",a;part;heid,a,part,heid,,,,,
,apartment,3,"'apartment': 3,",a;part;ment,a,part,ment,,,,,
,apex,2,"'apex': 2,",a;pex,a,pex,,,,,,
,aphasia,3,"'aphasia': 3,",a;pha;sia,a,pha,sia,,,,,
,aphid,2,"'aphid': 2,",a;phid,a,phid,,,,,,
,aphis,2,"'aphis': 2,",a;phis,a,phis,,,,,,
,apiece,2,"'apiece': 2,",a;piece,a,piece,,,,,,
,apocalyptic,5,"'apocalyptic': 5,",a;poc;a;lyp;tic,a,poc,a,lyp,tic,,,
,apocalypse,4,"'apocalypse': 4,",a;poc;a;lypse,a,poc,a,lypse,,,,
,apollo,3,"'apollo': 3,",a;pol;lo,a,pol,lo,,,,,
,apologetic,5,"'apologetic': 5,",a;pol;o;get;ic,a,pol,o,get,ic,,,
,apologetics,5,"'apologetics': 5,",a;pol;o;get;ics,a,pol,o,get,ics,,,
,apologise,4,"'apologise': 4,",a;pol;o;gise,a,pol,o,gise,,,,
,apologize,4,"'apologize': 4,",a;pol;o;gize,a,pol,o,gize,,,,
,apologized,4,"'apologized': 4,",a;pol;o;gized,a,pol,o,gized,,,,
,apology,4,"'apology': 4,",a;pol;o;gy,a,pol,o,gy,,,,
,apostle,3,"'apostle': 3,",a;pos;tle,a,pos,tle,,,,,
,apostrophe,4,"'apostrophe': 4,",a;pos;tro;phe,a,pos,tro,phe,,,,
,apothecary,5,"'apothecary': 5,",a;poth;e;car;y,a,poth,e,car,y,,,
,apr,2,"'apr': 2,",a;pr,a,pr,,,,,,
,apron,2,"'apron': 2,",a;pron,a,pron,,,,,,
,aquarium,4,"'aquarium': 4,",a;quar;i;um,a,quar,i,um,,,,
,aquariums,4,"'aquariums': 4,",a;quar;i;ums,a,quar,i,ums,,,,
,aquatic,3,"'aquatic': 3,",a;quat;ic,a,quat,ic,,,,,
,aquatics,3,"'aquatics': 3,",a;quat;ics,a,quat,ics,,,,,
,aqueous,3,"'aqueous': 3,",a;que;ous,a,que,ous,,,,,
,ar,2,"'ar': 2,",a;r,a,r,,,,,,
,arena,3,"'arena': 3,",a;re;na,a,re,na,,,,,
,aria,3,"'aria': 3,",a;ri;a,a,ri,a,,,,,
,arisen,3,"'arisen': 3,",a;ris;en,a,ris,en,,,,,
,arista,3,"'arista': 3,",a;ris;ta,a,ris,ta,,,,,
,aristocrat,4,"'aristocrat': 4,",a;ris;to;crat,a,ris,to,crat,,,,
,aristocratic,5,"'aristocratic': 5,",a;ris;to;crat;ic,a,ris,to,crat,ic,,,
,arise,2,"'arise': 2,",a;rise,a,rise,,,,,,
,arithmetic,4,"'arithmetic': 4,",a;rith;me;tic,a,rith,me,tic,,,,
,aroma,3,"'aroma': 3,",a;ro;ma,a,ro,ma,,,,,
,arose,2,"'arose': 2,",a;rose,a,rose,,,,,,
,around,2,"'around': 2,",a;round,a,round,,,,,,
,arousal,3,"'arousal': 3,",a;rous;al,a,rous,al,,,,,
,arouse,2,"'arouse': 2,",a;rouse,a,rouse,,,,,,
,aroused,2,"'aroused': 2,",a;roused,a,roused,,,,,,
,aseptic,3,"'aseptic': 3,",a;sep;tic,a,sep,tic,,,,,
,ashamed,2,"'ashamed': 2,",a;shamed,a,shamed,,,,,,
,ashore,2,"'ashore': 2,",a;shore,a,shore,,,,,,
,aside,2,"'aside': 2,",a;side,a,side,,,,,,
,askew,2,"'askew': 2,",a;skew,a,skew,,,,,,
,asleep,2,"'asleep': 2,",a;sleep,a,sleep,,,,,,
,aspherical,4,"'aspherical': 4,",a;spher;i;cal,a,spher,i,cal,,,,
,astigmatism,4,"'astigmatism': 4,",a;stig;ma;tism,a,stig,ma,tism,,,,
,astragalus,4,"'astragalus': 4,",a;strag;a;lus,a,strag,a,lus,,,,
,astray,2,"'astray': 2,",a;stray,a,stray,,,,,,
,asylum,3,"'asylum': 3,",a;sy;lum,a,sy,lum,,,,,
,asymmetry,4,"'asymmetry': 4,",a;sym;me;try,a,sym,me,try,,,,
,asymmetrical,5,"'asymmetrical': 5,",a;sym;met;ri;cal,a,sym,met,ri,cal,,,
,asymmetric,4,"'asymmetric': 4,",a;sym;met;ric,a,sym,met,ric,,,,
,asymptomatic,5,"'asymptomatic': 5,",a;symp;to;mat;ic,a,symp,to,mat,ic,,,
,asynchronous,4,"'asynchronous': 4,",a;syn;chro;nous,a,syn,chro,nous,,,,
,ataxia,4,"'ataxia': 4,",a;tax;i;a,a,tax,i,a,,,,
,atheism,3,"'atheism': 3,",a;the;ism,a,the,ism,,,,,
,atheist,3,"'atheist': 3,",a;the;ist,a,the,ist,,,,,
,atomic,3,"'atomic': 3,",a;tom;ic,a,tom,ic,,,,,
,atonement,3,"'atonement': 3,",a;tone;ment,a,tone,ment,,,,,
,atop,2,"'atop': 2,",a;top,a,top,,,,,,
,atria,3,"'atria': 3,",a;tri;a,a,tri,a,,,,,
,atrial,3,"'atrial': 3,",a;tri;al,a,tri,al,,,,,
,atrium,3,"'atrium': 3,",a;tri;um,a,tri,um,,,,,
,atrocious,3,"'atrocious': 3,",a;tro;cious,a,tro,cious,,,,,
,atrocity,4,"'atrocity': 4,",a;troc;i;ty,a,troc,i,ty,,,,
,atypical,4,"'atypical': 4,",a;typ;i;cal,a,typ,i,cal,,,,
,ava,2,"'ava': 2,",a;va,a,va,,,,,,
,avail,2,"'avail': 2,",a;vail,a,vail,,,,,,
,availability,6,"'availability': 6,",a;vail;a;bil;i;ty,a,vail,a,bil,i,ty,,
,available,4,"'available': 4,",a;vail;a;ble,a,vail,a,ble,,,,
,avast,2,"'avast': 2,",a;vast,a,vast,,,,,,
,avenger,3,"'avenger': 3,",a;veng;er,a,veng,er,,,,,
,avenge,2,"'avenge': 2,",a;venge,a,venge,,,,,,
,avenged,2,"'avenged': 2,",a;venged,a,venged,,,,,,
,aver,2,"'aver': 2,",a;ver,a,ver,,,,,,
,aversion,3,"'aversion': 3,",a;ver;sion,a,ver,sion,,,,,
,averse,2,"'averse': 2,",a;verse,a,verse,,,,,,
,avert,2,"'avert': 2,",a;vert,a,vert,,,,,,
,aviation,4,"'aviation': 4,",a;vi;a;tion,a,vi,a,tion,,,,
,aviator,4,"'aviator': 4,",a;vi;a;tor,a,vi,a,tor,,,,
,avian,3,"'avian': 3,",a;vi;an,a,vi,an,,,,,
,avionics,4,"'avionics': 4,",a;vi;on;ics,a,vi,on,ics,,,,
,aviso,3,"'aviso': 3,",a;vi;so,a,vi,so,,,,,
,aviary,3,"'aviary': 3,",a;viar;y,a,viar,y,,,,,
,avion,2,"'avion': 2,",a;vion,a,vion,,,,,,
,avo,2,"'avo': 2,",a;vo,a,vo,,,,,,
,avoid,2,"'avoid': 2,",a;void,a,void,,,,,,
,avoidable,4,"'avoidable': 4,",a;void;a;ble,a,void,a,ble,,,,
,avoidance,3,"'avoidance': 3,",a;void;ance,a,void,ance,,,,,
,awa,2,"'awa': 2,",a;wa,a,wa,,,,,,
,await,2,"'await': 2,",a;wait,a,wait,,,,,,
,awaken,3,"'awaken': 3,",a;wak;en,a,wak,en,,,,,
,awakening,4,"'awakening': 4,",a;wak;en;ing,a,wak,en,ing,,,,
,awake,2,"'awake': 2,",a;wake,a,wake,,,,,,
,award,2,"'award': 2,",a;ward,a,ward,,,,,,
,aware,2,"'aware': 2,",a;ware,a,ware,,,,,,
,awareness,3,"'awareness': 3,",a;ware;ness,a,ware,ness,,,,,
,awash,2,"'awash': 2,",a;wash,a,wash,,,,,,
,away,2,"'away': 2,",a;way,a,way,,,,,,
,awhile,2,"'awhile': 2,",a;while,a,while,,,,,,
,awoke,2,"'awoke': 2,",a;woke,a,woke,,,,,,
,awry,2,"'awry': 2,",a;wry,a,wry,,,,,,
,azalea,3,"'azalea': 3,",a;zal;ea,a,zal,ea,,,,,
,aardvark,2,"'aardvark': 2,",aard;vark,aard,vark,,,,,,
,aba,2,"'aba': 2,",ab;a,ab,a,,,,,,
,abacus,3,"'abacus': 3,",ab;a;cus,ab,a,cus,,,,,
,abalone,4,"'abalone': 4,",ab;a;lo;ne,ab,a,lo,ne,,,,
,abba,2,"'abba': 2,",ab;ba,ab,ba,,,,,,
,abbey,2,"'abbey': 2,",ab;bey,ab,bey,,,,,,
,abbot,2,"'abbot': 2,",ab;bot,ab,bot,,,,,,
,abbreviation,5,"'abbreviation': 5,",ab;bre;vi;a;tion,ab,bre,vi,a,tion,,,
,abbreviated,5,"'abbreviated': 5,",ab;bre;vi;at;ed,ab,bre,vi,at,ed,,,
,abdomen,3,"'abdomen': 3,",ab;do;men,ab,do,men,,,,,
,abdominal,4,"'abdominal': 4,",ab;dom;i;nal,ab,dom,i,nal,,,,
,abduction,3,"'abduction': 3,",ab;duc;tion,ab,duc,tion,,,,,
,aberration,4,"'aberration': 4,",ab;er;ra;tion,ab,er,ra,tion,,,,
,aberrant,3,"'aberrant': 3,",ab;er;rant,ab,er,rant,,,,,
,abigail,3,"'abigail': 3,",ab;i;gail,ab,i,gail,,,,,
,abject,2,"'abject': 2,",ab;ject,ab,ject,,,,,,
,ablation,3,"'ablation': 3,",ab;la;tion,ab,la,tion,,,,,
,abnormal,3,"'abnormal': 3,",ab;nor;mal,ab,nor,mal,,,,,
,abnormality,5,"'abnormality': 5,",ab;nor;mal;i;ty,ab,nor,mal,i,ty,,,
,abnormally,4,"'abnormally': 4,",ab;nor;mal;ly,ab,nor,mal,ly,,,,
,abo,2,"'abo': 2,",ab;o,ab,o,,,,,,
,abolition,4,"'abolition': 4,",ab;o;li;tion,ab,o,li,tion,,,,
,aboriginal,5,"'aboriginal': 5,",ab;o;rig;i;nal,ab,o,rig,i,nal,,,
,abrupt,2,"'abrupt': 2,",ab;rupt,ab,rupt,,,,,,
,abruptly,3,"'abruptly': 3,",ab;rupt;ly,ab,rupt,ly,,,,,
,abscess,2,"'abscess': 2,",ab;scess,ab,scess,,,,,,
,absentee,3,"'absentee': 3,",ab;sen;tee,ab,sen,tee,,,,,
,absenteeism,4,"'absenteeism': 4,",ab;sen;tee;ism,ab,sen,tee,ism,,,,
,absence,2,"'absence': 2,",ab;sence,ab,sence,,,,,,
,absent,2,"'absent': 2,",ab;sent,ab,sent,,,,,,
,absinthe,2,"'absinthe': 2,",ab;sinthe,ab,sinthe,,,,,,
,absolution,4,"'absolution': 4,",ab;so;lu;tion,ab,so,lu,tion,,,,
,absolute,3,"'absolute': 3,",ab;so;lute,ab,so,lute,,,,,
,absolutely,4,"'absolutely': 4,",ab;so;lute;ly,ab,so,lute,ly,,,,
,absorb,2,"'absorb': 2,",ab;sorb,ab,sorb,,,,,,
,absorbance,3,"'absorbance': 3,",ab;sorb;ance,ab,sorb,ance,,,,,
,absorbent,3,"'absorbent': 3,",ab;sorb;ent,ab,sorb,ent,,,,,
,absorber,3,"'absorber': 3,",ab;sorb;er,ab,sorb,er,,,,,
,absorbing,3,"'absorbing': 3,",ab;sorb;ing,ab,sorb,ing,,,,,
,absorbed,2,"'absorbed': 2,",ab;sorbed,ab,sorbed,,,,,,
,absorption,3,"'absorption': 3,",ab;sorp;tion,ab,sorp,tion,,,,,
,abstain,2,"'abstain': 2,",ab;stain,ab,stain,,,,,,
,abstinence,3,"'abstinence': 3,",ab;sti;nence,ab,sti,nence,,,,,
,abstraction,3,"'abstraction': 3,",ab;strac;tion,ab,strac,tion,,,,,
,abstract,2,"'abstract': 2,",ab;stract,ab,stract,,,,,,
,abstracted,3,"'abstracted': 3,",ab;stract;ed,ab,stract,ed,,,,,
,absurd,2,"'absurd': 2,",ab;surd,ab,surd,,,,,,
,absurdity,4,"'absurdity': 4,",ab;surd;i;ty,ab,surd,i,ty,,,,
,abb,1,"'abb': 1,",abb,abb,,,,,,,
,abl,1,"'abl': 1,",abl,abl,,,,,,,
,abp,1,"'abp': 1,",abp,abp,,,,,,,
,abr,1,"'abr': 1,",abr,abr,,,,,,,
,academia,5,"'academia': 5,",ac;a;dem;i;a,ac,a,dem,i,a,,,
,academically,6,"'academically': 6,",ac;a;dem;i;cal;ly,ac,a,dem,i,cal,ly,,
,academic,4,"'academic': 4,",ac;a;dem;ic,ac,a,dem,ic,,,,
,academe,3,"'academe': 3,",ac;a;deme,ac,a,deme,,,,,
